ogrodzenia
Nr	X	Y	Z	Hg	Hd
194	5804545.86	6423636.38	78.30
195	5804542.89	6423631.27	78.42
196	5804539.36	6423631.66	78.34
197	5804537.56	6423637.43	78.24
213	5804535.32	6423601.79	78.32
214	5804535.02	6423601.79	78.32
215	5804536.76	6423601.54	78.26
216	5804535.44	6423590.97	78.26
217	5804537.34	6423590.72	78.19
218	5804535.99	6423580.93	78.17
219	5804532.40	6423581.47	78.21
220	5804545.54	6423586.78	78.30
221	5804546.09	6423586.68	78.31
224	5804545.62	6423582.89	78.27
225	5804545.08	6423582.94	78.27
226	5804516.60	6423640.03	78.13
227	5804516.16	6423637.65	78.23
228	5804512.70	6423638.04	78.26
229	5804512.74	6423640.54	78.14
251	5804473.68	6423559.44	77.81
254	5804472.59	6423555.50	77.68
255	5804472.79	6423556.38	77.69
257	5804471.77	6423552.64	77.63
259	5804468.59	6423539.25	77.57
265	5804422.72	6423540.54	77.32
266	5804418.76	6423541.46	77.38
269	5804427.13	6423556.91	77.62
271	5804429.69	6423561.18	77.67
272	5804428.49	6423562.95	77.68
298	5804442.96	6423602.71	77.85
299	5804446.24	6423616.65	77.94
309	5804385.83	6423558.19	77.61
310	5804386.31	6423558.29	77.70
311	5804387.04	6423561.40	77.91
312	5804387.11	6423562.24	77.76
313	5804386.77	6423562.43	77.72
314	5804387.41	6423565.16	77.74
315	5804387.85	6423565.14	77.90
316	5804388.57	6423568.10	77.81
317	5804388.86	6423569.01	77.82
318	5804388.40	6423569.29	77.72
319	5804388.96	6423571.89	77.85
320	5804389.41	6423571.84	77.97
321	5804390.18	6423574.68	78.06
322	5804390.49	6423575.77	78.02
323	5804389.93	6423576.01	77.91
333	5804392.85	6423588.72	77.96
334	5804393.41	6423588.52	78.08
335	5804394.21	6423592.10	78.06
336	5804393.67	6423592.29	77.97
337	5804394.23	6423594.78	77.97
338	5804394.81	6423594.64	78.09
339	5804395.73	6423598.87	78.07
340	5804395.17	6423598.98	78.00
416	5804369.57	6423664.98	78.31
417	5804369.78	6423666.55	78.43
418	5804364.80	6423667.21	78.41
419	5804364.56	6423665.63	78.31

Trawnik
Nr	X	Y	Z	Hg	Hd
312	5804387.11	6423562.24	77.76
313	5804386.77	6423562.43	77.72
